order_id,date,region,category,sales_rep,channel,units,unit_price,revenue,cost,profit,customer_satisfaction
ORD-10839,2025-02-28,East,Furniture,Emily Zhang,Direct,11,193.49,2128.39,1339.59,788.8,4.9
ORD-10459,2024-09-06,South,Office Supplies,Maria Garcia,Direct,14,162.41,2273.74,1347.21,926.53,2.9
ORD-10665,2024-12-14,West,Office Supplies,Sarah Chen,Online,7,288.77,2021.39,1131.99,889.4,4.2
ORD-10690,2024-12-14,South,Electronics,Amy Liu,,13,425.41,5530.33,3185.46,2344.87,5.0
ORD-10066,2024-02-08,East,Electronics,James Wilson,Online,11,281.22,3093.42,2063.54,1029.88,4.6
ORD-10164,2024-04-05,West,Electronics,Mike Torres,Online,14,489.17,6848.38,4397.92,2450.46,4.3
ORD-10976,2025-04-30,Midwest,Electronics,Tom Anderson,Direct,10,343.62,3436.2,1947.22,1488.98,4.1
ORD-10752,2025-01-15,Midwest,Electronics,Rachel Lee,Partner,23,233.86,5378.78,3598.95,1779.83,3.9
ORD-10289,2024-06-08,East,Electronics,James Wilson,Online,4,320.64,1282.56,716.74,565.82,3.2
ORD-11326,2025-11-22,West,Furniture,Sarah Chen,Direct,22,376.35,8279.7,5175.25,3104.45,4.6
ORD-10134,2024-03-04,East,Software,David Kim,Online,1,366.87,366.87,133.61,233.26,4.0
ORD-10277,2024-05-21,West,Electronics,Sarah Chen,Direct,23,543.55,12501.65,7713.04,4788.61,4.3
ORD-10275,2024-06-09,West,Electronics,Lisa Patel,Direct,3,427.82,1283.46,776.2,507.26,3.3
ORD-10224,2024-05-11,West,Furniture,Mike Torres,Partner,24,240.01,5760.24,3633.44,2126.8,4.4
ORD-10241,2024-05-14,East,Software,James Wilson,Partner,10,463.95,4639.5,1752.19,2887.31,4.8
ORD-10217,2024-05-02,West,Electronics,Lisa Patel,Online,25,346.87,8671.75,5486.66,3185.09,4.0
ORD-11320,2025-11-16,West,Office Supplies,Lisa Patel,Online,24,302.62,7262.88,3826.25,3436.63,4.4
ORD-11117,2025-08-01,East,Software,Emily Zhang,Partner,6,526.68,3160.08,1142.95,2017.13,4.3
ORD-10944,2025-04-22,West,Software,Sarah Chen,Online,19,592.29,11253.51,4915.3,6338.21,3.5
ORD-10354,2024-07-09,South,Furniture,Robert Johnson,Online,24,171.21,4109.04,2568.14,1540.9,4.3
ORD-10471,2024-08-13,Midwest,Electronics,Tom Anderson,Online,20,184.09,3681.8,2480.12,1201.68,3.4
ORD-10338,2024-06-18,East,Electronics,Emily Zhang,Partner,10,442.06,4420.6,2741.35,1679.25,4.0
ORD-10973,2025-05-01,South,Software,Amy Liu,Partner,20,528.46,10569.2,4290.15,6279.05,3.6
ORD-10391,2024-07-20,East,Office Supplies,Emily Zhang,Direct,9,201.44,1812.96,949.94,863.02,4.5
ORD-10172,2024-04-08,West,Furniture,Lisa Patel,Online,25,356.23,8905.75,5994.05,2911.7,3.8
ORD-10809,2025-02-17,Midwest,Electronics,Rachel Lee,Online,14,229.17,3208.38,2120.57,1087.81,4.5
ORD-10573,2024-10-15,South,Electronics,Maria Garcia,Online,23,338.8,7792.4,4632.93,3159.47,4.0
ORD-11262,2025-10-10,West,Electronics,Mike Torres,Partner,10,648.91,6489.1,3675.8,2813.3,3.5
ORD-10522,2024-09-29,South,Furniture,Robert Johnson,Online,1,200.99,200.99,140.96,60.03,3.6
ORD-11066,2025-07-09,South,Office Supplies,Robert Johnson,Partner,23,173.54,3991.42,2289.43,1701.99,4.5
ORD-10086,2024-02-05,South,Software,Maria Garcia,Partner,25,280.35,7008.75,2857.4,4151.35,5.0
ORD-11217,2025-09-18,East,Electronics,James Wilson,Partner,25,441.31,11032.75,7330.7,3702.05,4.1
ORD-10934,2025-04-10,Midwest,Software,Rachel Lee,Online,1,335.15,335.15,129.63,205.52,4.4
ORD-11427,2025-12-29,South,Electronics,Maria Garcia,Partner,19,387.09,7354.71,4424.61,2930.1,
ORD-10398,2024-07-18,South,Electronics,Robert Johnson,Direct,5,316.15,1580.75,996.27,584.48,4.4
ORD-11064,2025-07-04,South,Office Supplies,Robert Johnson,Online,5,181.54,907.7,491.45,416.25,5.0
